a52dec 0.8.0-2
abseil-cpp 20230802.1-1
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-dark 1.0-1
adwaita-icon-theme 45.0-1
alsa-card-profiles 1:1.0.3-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
aom 3.8.1-1
appstream 1.0.1-2
appstream-glib 0.8.2-3
appstream-qt5 1.0.1-2
archlinux-appstream-data 20240112-1
archlinux-keyring 20240208-1
argon2 20190702-5
ark 23.08.5-1
arpack 3.9.1-2
at-spi2-core 2.50.1-1
atkmm 2.28.4-1
attica5 5.115.0-1
attr 2.5.2-1
audit 4.0-1
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-1
baloo-widgets 23.08.5-1
baloo5 5.115.0-1
base 3-2
base-devel 1-1
bash 5.2.026-2
binutils 2.42-2
bison 3.8.2-6
blas 3.12.0-3
blueman 2.3.5-3
bluez 5.72-2
bluez-libs 5.72-2
bluez-utils 5.72-2
boost-libs 1.83.0-5
bpytop 1.0.68-1
breeze 5.27.10-1
breeze-icons 5.115.0-1
brial 1.2.12-2
brightnessctl 0.5.1-2
brotli 1.1.0-1
btrfs-progs 6.7.1-1
bzip2 1.0.8-5
c-ares 1.26.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.97-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cairomm 1.14.5-1
canon-pixma-ts5055-complete 6.40-1
cantarell-fonts 1:0.303.1-1
cblas 3.12.0-3
cddlib 1:0.94m-1
cdparanoia 10.2-9
chrono-date 3.0.1-3
cifs-utils 7.0-3
cliphist 1:0.5.0-1
cliquer 1.22-1
cmake 3.28.3-1
confuse 3.3-3
convertlit 1.8-11
coreutils 9.4-3
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.7.0-1
cups 1:2.4.7-2
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
curl 8.6.0-3
dav1d 1.3.0-1
db5.3 5.3.28-4
dbus 1.14.10-2
dbus-broker 35-2
dbus-broker-units 35-2
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
ddcutil 2.1.3-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-1
diffutils 3.10-1
discount 3.0.0.d-1
djvulibre 3.5.28-5
dnssec-anchors 20190629-3
dolphin 23.08.5-1
